Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Manufacturer_Name,Mouser Part Number,Mouser Price/Stock,Arrow Part Number,Arrow Price/Stock
"C1, C16",2,CL10A475KP8NNNC,CAPC1608X90N,,CL10A475KP8NNNC,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0.9,SAMSUNG,187-CL10A475KP8NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL10A475KP8NNNC?qs=hqM3L16%252BxlfQRmkWsZz5vA%3D%3D,CL10A475KP8NNNC,https://www.arrow.com/en/products/cl10a475kp8nnnc/samsung-electro-mechanics?region=europe
"C13, C2, C3, C4, C5, C6, C9",7,CL03A104KQ3NNNC,CAPC0603X33N,,CL03A104KQ3NNNC,,smt,"Samsung Electro-Mechanics 0201 CL 100nF Ceramic Multilayer Capacitor, 6.3 V, +85C, X5R Dielectric, +/-10% SMD",0.33,SAMSUNG,187-CL03A104KQ3NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL03A104KQ3NNNC?qs=X6jEic%2FHinA6awotr6dd%2FQ%3D%3D,CL03A104KQ3NNNC,https://www.arrow.com/en/products/cl03a104kq3nnnc/samsung-electro-mechanics?region=nac
C14,1,CL10B105KP8NNNC,CAPC1608X90N,,CL10B105KP8NNNC,,smt,1F +/-10% 10V Ceramic Capacitor X7R 0603 (1608 Metric),0.9,SAMSUNG,187-CL10B105KP8NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL10B105KP8NNNC?qs=X6jEic%2FHinD9krOsbkFZow%3D%3D,CL10B105KP8NNNC,https://www.arrow.com/en/products/cl10b105kp8nnnc/samsung-electro-mechanics?region=europe
"CAN1, DO1, DO10, DO11, DO12, DO13, DO2, DO3, DO4, DO5, DO6, DO7, DO8, DO9",14,2601-1102,26011102,,2601-1102,,tht,"PCB terminal block; lever; 1.5 mm; Pin spacing 3.5 mm; 2-pole; Push-in CAGE CLAMP; 1,50 mm; gray",12.75,Wago,,,,
"D1, D10, D11, D12, D2, D3, D6, D7, D8, D9",10,SB240,DIOAD1910W86L670D310,,SB240,,tht,"Power Schottky (IF1A) - SB240 , Standard, 40V, 2A, DO-15",,PANJIT,,,,
IC1,1,XB24CAWIT-001,XB24CAWIT001,,XB24CAWIT-001,,tht,"802.15.4 Transceiver Module 2.4GHz Integrated, Wire Antenna Through Hole",29.845,DIGI,888-XB24CAWIT-001,https://www.mouser.co.uk/ProductDetail/DIGI/XB24CAWIT-001?qs=%2FPVulymFwT1u0cCwuRVF0g%3D%3D,,
IC2,1,LD29080DT33R,TO228P972X240-3N,,LD29080DT33R,,smt,"LD29080DT33R, Low Dropout Voltage Regulator, 0.8A, 3.3 V +/-1%, 2.5  13 Vin, 3-Pin DPAK",2.4,STMicroelectronics,511-LD29080DT33R,https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LD29080DT33R?qs=k9dH%2Fx4GHJAkjytoj9%252B3%2Fw%3D%3D,,
IC3,1,LD29080DT50R,LD29080DT50R,,LD29080DT50R,,smt,800 mA fixed and adjustable output very low drop voltage regulator,2.63,STMicroelectronics,511-LD29080DT50R,https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LD29080DT50R?qs=22WmWNTp1rrXQIBxhkME0A%3D%3D,LD29080DT50R,https://www.arrow.com/en/products/ld29080dt50r/stmicroelectronics?region=nac
"J1, J2, J3, J4, J5, J6, J7, J8",8,2601-1103_000-004,26011103,,2601-1103/000-004,,tht,"PCB terminal block; lever; 1.5 mm; Pin spacing 3.5 mm; 3-pole; Push-in CAGE CLAMP; 1,50 mm; gray",12.75,Wago,,,,
LED1-A1,1,150060AS75000,LEDC1608X80N,,150060AS75000,,smt,"2.4 V Amber LED 1608 (0603)  SMD, Wurth Elektronik WL-SMCW 150060AS75000",0.8,Wurth Elektronik,710-150060AS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060AS75000?qs=d0WKAl%252BL4KbvMBYryeof0Q%3D%3D,,
LED1-B1,1,150060BS75000,LEDC1608X80N,,150060BS75000,,smt,"LED,Wurth Elektronik,150060BS75000 Wurth Elektronik 150060BS75000, WL-SMCW Series Blue LED, 470 nm 1608 (0603) Clear, Rectangle Lens SMD package",0.8,Wurth Elektronik,710-150060BS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060BS75000?qs=LlUlMxKIyB2DLLpXQThavA%3D%3D,,
LED1-G1,1,150060GS75000,LEDC1608X80N,,150060GS75000,,smt,"Wurth Elektronik WL-SMCW 520 nm Green LED, 1608 (0603) Clear SMD package",0.8,Wurth Elektronik,710-150060GS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060GS75000?qs=LlUlMxKIyB0UYkq5lDO8nA%3D%3D,,
LED1-R1,1,150060RS75000,LEDC1608X80N,,150060RS75000,,smt,"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM",0.8,Wurth Elektronik,710-150060RS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060RS75000?qs=LlUlMxKIyB3QnmZ3fw%2FVCA%3D%3D,,
LED1-Y1,1,150060YS75000,LEDC1608X80N,,150060YS75000,,smt,"LED,Wurth Elektronik,150060YS75000 Wurth Elektronik 150060YS75000, WL-SMCW Series Yellow LED, 590 nm, 1608 (0603) Clear, Rectangle Lens SMD Package",0.8,Wurth Elektronik,710-150060YS75000,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060YS75000?qs=LlUlMxKIyB0nKmwefHgtZw%3D%3D,,
PowerIN1,1,2601-1502,26011502,,2601-1502,,tht,PCB terminal block; lever; 1.5 mm; Pin spacing 11.5 mm; 2-pole; Push-in CAGE CLAMP,12.75,Wago,,,,
"Q1, Q2, Q3, Q4, Q5",5,DMG9926USD-13,SOIC127P600X175-8N,,DMG9926USD-13,,smt,"Diodes Inc DMG9926USD-13 Dual N-channel MOSFET Transistor, 8 A, 20 V, 8-Pin SOP",1.75,Diodes Incorporated,621-DMG9926USD-13,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMG9926USD-13?qs=4YT44p7w2buzSaF0raP1iw%3D%3D,,
Q7,1,CSD13383F4,CSD13383F4,,CSD13383F4,,smt,"12V, N ch NexFET MOSFET, single LGA 1.0 x 0.6mm, 44mOhm",0.35,Texas Instruments,595-CSD13383F4,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CSD13383F4?qs=beZBGHSk9c3rR5p9cfIBEg%3D%3D,CSD13383F4,https://www.arrow.com/en/products/csd13383f4/texas-instruments?region=nac
"R1, R2, R3, R4",4,ERJ3GEYJ102V,ERJ3EKF1000V,,ERJ3GEYJ102V,,smt,Thick Film Resistors - SMD 0603 1Kohms 5% AEC-Q200,0.55,Panasonic,667-ERJ-3GEYJ102V,http://www.mouser.com/Search/ProductDetail.aspx?qs=66DK8nO8gJBFiTsClorqsA%3d%3d,,
R5,1,RC1005F103CS,RESC1005X40N,,RC1005F103CS,,smt,Thick Film General Chip Resistor,0.4,SAMSUNG,N/A,https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA,RC1005F103CS,https://www.arrow.com/en/products/rc1005f103cs/samsung-electro-mechanics?region=nac
"R6, R7",2,ERJ-2RKF1001X,ERJ2RKD1004X,,ERJ-2RKF1001X,,smt,Thick Film Resistors - SMD 0402 1Kohms 1% AEC-Q200,0.4,Panasonic,667-ERJ-2RKF1001X,https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-2RKF1001X?qs=H7k1u0Mp9JRRg22R5LYj9Q%3D%3D,ERJ-2RKF1001X,https://www.arrow.com/en/products/erj-2rkf1001x/panasonic?region=nac
RSL1,1,APHHS1005SECK,APHHS1005SECK,,APHHS1005SECK,,smt,Standard LEDs - SMD ORANGE WTR CLEAR 160mcd 610nm,0.6,Kingbright,604-APHHS1005SECK,https://www.mouser.co.uk/ProductDetail/Kingbright/APHHS1005SECK?qs=48MD8zkHsZDIjCNVxt6Sow%3D%3D,APHHS1005SECK,https://www.arrow.com/en/products/aphhs1005seck/kingbright?region=nac
S1,1,KSS243GLFG,KSS,,KSS243GLFG,,smt,KSS243GLFG (Tactile Switches),,C & K COMPONENTS,611-KSS243GLFG,https://www.mouser.co.uk/ProductDetail/CK/KSS243GLFG?qs=vOd3edNlRKCYwSRGjGPkbw%3D%3D,KSS243GLFG,https://www.arrow.com/en/products/kss243glfg/ck
U1,1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,,,,smt,"STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 128KB RAM, 180 MHz, 1.8-3.6V, 50 GPIO, LQFP64",,,,,,
U4,1,BNO055,LGA-28_5.2x3.8mm_P0.5mm,,,,smt,"Intelligent 9-axis absolute orientation sensor, LGA-28",,,,,,
